panel,group,cov_level,loss_cost,indemnity,liability,acres
Corn,conventional,0.85,0.06182,5946525445.0,96185173093.0,127933415.0
Corn,conventional,0.9,0.03152,11906885.0,377780237.0,459945.0
Corn,certified organic,0.5,0.02999,3332229.0,111111611.0,219363.0
Corn,certified organic,0.55,0.07592,588913.0,7756674.0,13449.0
Corn,certified organic,0.6,0.08676,6431802.0,74132140.0,95182.0
Corn,certified organic,0.65,0.12482,10444729.0,83675568.0,117381.0
Corn,certified organic,0.7,0.15712,62316165.0,396625476.0,523742.0
Corn,certified organic,0.75,0.1723,145013071.0,841638871.0,989241.0
Corn,certified organic,0.8,0.16865,137164416.0,813287650.0,844868.0
Corn,certified organic,0.85,0.24448,157511122.0,644263668.0,594224.0
Corn,certified organic,0.9,0.00825,32762.0,3972771.0,1859.0
Corn,transitional organic,0.5,0.02595,57559.0,2217870.0,9160.0
Corn,transitional organic,0.55,0.10383,54154.0,521589.0,2076.0
Corn,transitional organic,0.6,0.04039,47790.0,1183245.0,3455.0
Corn,transitional organic,0.65,0.08338,148793.0,1784505.0,4862.0
Corn,transitional organic,0.7,0.13394,1561162.0,11655966.0,32034.0
Corn,transitional organic,0.75,0.16,3707039.0,23168472.0,58160.0
Corn,transitional organic,0.8,0.07646,2107521.0,27564634.0,55693.0
Corn,transitional organic,0.85,0.11757,3000754.0,25523184.0,48696.0
Corn,transitional organic,0.9,0.0293,52368.0,1787431.0,2096.0
Soybeans,conventional,0.5,0.01961,10525626.0,536856796.0,2070619.0
Soybeans,conventional,0.55,0.02309,2651463.0,114839260.0,389954.0
Soybeans,conventional,0.6,0.03757,26741746.0,711829916.0,2266493.0
Soybeans,conventional,0.65,0.03738,103964912.0,2781137254.0,8135361.0
Soybeans,conventional,0.7,0.04848,638697634.0,13175351022.0,37209871.0
Soybeans,conventional,0.75,0.05081,1876374384.0,36932154714.0,94279660.0
Soybeans,conventional,0.8,0.04053,1616460016.0,39883664424.0,86315581.0
Soybeans,conventional,0.85,0.03788,977635830.0,25805992773.0,49988650.0
Soybeans,conventional,0.9,0.00204,12375.0,6061752.0,10365.0
Soybeans,certified organic,0.5,0.06913,396388.0,5734122.0,21191.0
Soybeans,certified organic,0.55,0.1966,241893.0,1230371.0,3617.0
Soybeans,certified organic,0.6,0.20964,2131961.0,10169642.0,27570.0
Soybeans,certified organic,0.65,0.14893,3570805.0,23976579.0,49531.0
Soybeans,certified organic,0.7,0.15967,17576461.0,110078808.0,222295.0
Soybeans,certified organic,0.75,0.18729,40606621.0,216815676.0,389184.0
Soybeans,certified organic,0.8,0.19442,39310383.0,202194290.0,325988.0
Soybeans,certified organic,0.85,0.18175,26078410.0,143485189.0,184715.0
Soybeans,transitional organic,0.5,0.09592,31955.0,333139.0,2761.0
Soybeans,transitional organic,0.55,0.02974,3343.0,112407.0,694.0
Soybeans,transitional organic,0.6,0.1147,29393.0,256265.0,1244.0
Soybeans,transitional organic,0.65,0.06364,62118.0,976095.0,4576.0
Soybeans,transitional organic,0.7,0.11622,396695.0,3413234.0,15031.0
Soybeans,transitional organic,0.75,0.09064,667143.0,7360332.0,27489.0
Soybeans,transitional organic,0.8,0.12354,1118783.0,9056185.0,27779.0
Soybeans,transitional organic,0.85,0.09845,976730.0,9921394.0,29416.0
Soybeans,transitional organic,0.9,0.48197,3541.0,7347.0,19.0
Wheat,conventional,0.5,0.06642,31912054.0,480468296.0,3149108.0
Wheat,conventional,0.55,0.12913,6712421.0,51983004.0,383810.0
Wheat,conventional,0.6,0.17077,87782994.0,514028011.0,3335147.0
Wheat,conventional,0.65,0.13704,181157885.0,1321906854.0,7400393.0
Wheat,conventional,0.7,0.13307,865745895.0,6505774927.0,31621395.0
Wheat,conventional,0.75,0.11993,1043292367.0,8698958512.0,34223348.0
Wheat,conventional,0.8,0.10282,330676534.0,3216095993.0,9559582.0
Wheat,conventional,0.85,0.13251,225724585.0,1703416860.0,4474882.0
Wheat,conventional,0.9,0.08069,16364.0,202802.0,483.0
Wheat,certified organic,0.5,0.08036,2527298.0,31450239.0,208581.0
Wheat,certified organic,0.55,0.04361,89014.0,2041051.0,6237.0
Wheat,certified organic,0.6,0.07654,2182591.0,28515385.0,111585.0
Wheat,certified organic,0.65,0.24022,10128463.0,42163867.0,223450.0
Wheat,certified organic,0.7,0.19084,21117878.0,110657451.0,345544.0
Wheat,certified organic,0.75,0.19978,42803220.0,214256542.0,562746.0
Wheat,certified organic,0.8,0.30271,38452717.0,127029788.0,227688.0
Wheat,certified organic,0.85,0.33623,12425841.0,36956105.0,63833.0
Wheat,certified organic,0.9,0.03698,1395.0,37726.0,41.0
Wheat,transitional organic,0.5,0.02492,32312.0,1296663.0,10750.0
Wheat,transitional organic,0.55,0.0,0.0,117267.0,719.0
Wheat,transitional organic,0.6,0.14225,98571.0,692938.0,4553.0
Wheat,transitional organic,0.65,0.0472,42317.0,896578.0,5360.0
Wheat,transitional organic,0.7,0.07549,223513.0,2960991.0,18081.0
Wheat,transitional organic,0.75,0.11352,835705.0,7361422.0,35389.0
Wheat,transitional organic,0.8,0.14456,880252.0,6089206.0,21552.0
Wheat,transitional organic,0.85,0.06397,97202.0,1519383.0,6376.0
Wheat,transitional organic,0.9,0.14,10280.0,73428.0,178.0
